Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,Total_Trans_Amt,Total_Trans_Ct,avg_spend,Education_Level,Card_Category
34.0,3,4.0,3313.0,2517,0.76,1171.0,20.0,58.55,High School,Blue
36.0,3,1.0,4010.0,1247,0.311,1088.0,24.0,45.333333333333336,Graduate,Blue
27.0,2,2.0,29081.0,1396,0.048,1538.0,36.0,42.72222222222222,High School,Silver
36.0,3,5.0,11751.0,0,0.0,1539.0,19.0,81.0,College,Blue
48.0,5,2.0,2436.0,680,0.279,1570.0,29.0,54.13793103448276,Graduate,Blue
34.0,5,2.0,10100.0,0,0.0,1052.0,19.0,55.36842105263158,Uneducated,Blue
42.0,6,1.0,4785.0,1362,0.285,1045.0,38.0,27.5,High School,Blue
33.0,3,2.0,2753.0,1811,0.658,1038.0,25.0,41.52,Unknown,Blue
48.0,2,5.0,2451.0,1690,0.69,1596.0,26.0,61.38461538461539,Uneducated,Blue
38.0,5,2.0,2650.0,1490,0.562,1411.0,28.0,50.392857142857146,College,Blue
49.0,3,3.0,3672.0,886,0.241,1464.0,28.0,52.285714285714285,Graduate,Blue
41.0,2,2.0,32426.0,578,0.018,1109.0,28.0,39.607142857142854,Graduate,Blue
44.0,4,1.0,6205.0,2204,0.355,1347.0,28.0,48.107142857142854,Unknown,Blue
30.0,3,2.0,34516.0,0,0.0,1444.0,28.0,51.57142857142857,Uneducated,Blue
41.0,6,3.0,2622.0,1549,0.591,1878.0,30.0,62.6,Unknown,Blue
40.0,2,3.0,1438.3,808,0.562,882.09,19.0,46.42578947368421,Graduate,Blue
34.0,4,4.0,3336.0,1753,0.525,1168.0,27.0,43.25925925925926,High School,Blue
35.0,2,4.0,34516.0,0,0.0,882.09,19.0,46.42578947368421,Graduate,Silver
33.0,5,3.0,5926.0,1251,0.211,1316.0,28.0,47.0,High School,Blue
52.0,5,3.0,6584.0,1817,0.276,1353.0,35.0,38.65714285714286,College,Blue
38.0,6,2.0,25300.0,1330,0.053,882.09,19.0,46.42578947368421,Doctorate,Blue
42.0,3,2.0,34516.0,1763,0.051,1550.0,41.0,37.80487804878049,Graduate,Blue
42.0,5,3.0,2216.0,1034,0.467,1540.0,36.0,42.77777777777778,Graduate,Blue
29.0,4,4.0,7038.0,1801,0.256,2339.0,57.0,41.03508771929825,Uneducated,Blue
30.0,6,1.0,2536.0,1823,0.719,1468.0,23.0,63.82608695652174,Graduate,Blue
38.0,6,3.0,28904.0,1899,0.066,1334.0,35.0,38.114285714285714,Graduate,Blue
36.0,6,2.0,34516.0,1533,0.044,1603.0,29.0,55.275862068965516,Unknown,Blue
45.0,2,4.0,2158.0,0,0.0,882.09,19.0,46.42578947368421,Unknown,Blue
38.0,4,3.0,31302.0,1953,0.062,1564.0,35.0,44.68571428571428,High School,Blue
42.0,5,4.0,2664.0,2037,0.765,1286.0,29.0,44.3448275862069,Graduate,Blue
28.0,5,1.0,2535.0,2440,0.9132300000000001,1312.0,20.0,65.6,Unknown,Blue
32.0,3,3.0,3031.0,1879,0.62,1298.0,19.0,68.3157894736842,Graduate,Blue
33.0,2,3.0,8358.0,926,0.111,1566.0,37.0,42.32432432432432,Post-Graduate,Blue
36.0,6,3.0,33791.0,1960,0.058,1047.0,31.0,33.774193548387096,Unknown,Blue
39.0,4,3.0,8466.0,1886,0.223,1342.0,32.0,41.9375,Graduate,Blue
36.0,5,3.0,15088.0,865,0.057,1107.0,21.0,52.714285714285715,Unknown,Blue
